RCDTS,Type,District,City,County,District Type,District Size,Student Enrollment - Total,Student Enrollment - Low Income %,Avg Class Size – All Grades,Avg Teaching Exp,Bachelor Degree,Masters Degree ,Teacher Retention Rate,Teacher Avg Salary,Admin Avg Salary
170540210260000,District,Hartsburg Emden CUSD 21,Hartsburg,Logan,UNIT,SMALL,202.0,42.6,13.0,10.7,71.8,28.2,88.7,39413.16,85750.0
170540230260000,District,Mt Pulaski CUSD 23,Mount Pulaski,Logan,UNIT,MEDIUM,514.0,39.5,17.0,16.4,57.9,42.1,92.6,57483.21,107236.81
170544040160000,District,Lincoln CHSD 404,Lincoln,Logan,HIGH SCHOOL,MEDIUM,826.0,44.8,17.0,14.1,48.4,47.9,92.5,52354.14,111449.42
170640020260000,District,LeRoy CUSD 2,Le Roy,McLean,UNIT,MEDIUM,793.0,27.5,17.0,14.6,52.1,47.9,92.9,51776.2,102763.18
170640030260000,District,Tri Valley CUSD 3,Downs,McLean,UNIT,MEDIUM,1109.0,9.6,21.0,14.3,55.8,44.2,85.4,57840.69,96290.8
170640040260000,District,Heyworth CUSD 4,Heyworth,McLean,UNIT,MEDIUM,937.0,27.2,24.0,14.6,56.3,43.7,89.4,62805.83,105905.45
170640050260000,District,McLean County USD 5,Normal,McLean,UNIT,LARGE,13346.0,32.8,24.0,14.2,53.1,46.7,90.7,58653.36,86485.19
170640070260000,District,Lexington CUSD 7,Lexington,McLean,UNIT,SMALL,504.0,27.8,18.0,15.5,58.8,41.2,89.8,53869.63,88936.33
170640160260000,District,Olympia CUSD 16,Stanford,McLean,UNIT,LARGE,1847.0,38.5,22.0,13.6,75.7,24.3,87.2,48176.62,89155.12
170640190260000,District,Ridgeview CUSD 19,Colfax,McLean,UNIT,MEDIUM,590.0,41.9,19.0,13.1,70.2,29.8,84.0,52770.5,93397.55
170640870250000,District,Bloomington SD 87,Bloomington,McLean,UNIT,LARGE,5315.0,55.5,23.0,14.0,50.2,49.6,91.5,61008.93,96632.72
190220860170000,District,Hinsdale Twp HSD 86,Hinsdale,Dupage,HIGH SCHOOL,LARGE,4358.0,14.0,19.0,14.3,23.6,76.4,91.0,101099.84,124799.09
190220870170000,District,Glenbard Twp HSD 87,Glen Ellyn,Dupage,HIGH SCHOOL,LARGE,8137.0,32.2,20.0,17.3,12.5,87.3,96.2,105884.4,124702.42
190220880160000,District,DuPage HSD 88,Addison,Dupage,HIGH SCHOOL,LARGE,3947.0,49.9,20.0,14.6,12.7,87.3,95.0,97646.03,128591.17
190220940160000,District,CHSD 94,West Chicago,Dupage,HIGH SCHOOL,MEDIUM,2101.0,30.1,22.0,13.0,33.8,66.2,92.2,67239.72,107107.53
190220990160000,District,CHSD 99,Downers Grove,Dupage,HIGH SCHOOL,LARGE,4948.0,22.4,17.0,15.1,15.0,85.0,95.7,92761.31,122176.77
190221000160000,District,Fenton CHSD 100,Bensenville,Dupage,HIGH SCHOOL,MEDIUM,1493.0,51.0,19.0,15.1,16.7,83.3,93.1,103826.55,124857.89
190221080160000,District,Lake Park CHSD 108,Roselle,Dupage,HIGH SCHOOL,MEDIUM,2615.0,17.5,21.0,14.9,15.0,85.0,95.2,95361.59,147341.54
190222000260000,District,CUSD 200,Wheaton,Dupage,UNIT,LARGE,12809.0,27.5,24.0,14.6,28.3,71.3,91.4,74927.57,113910.07
190222010260000,District,CUSD 201,Westmont,Dupage,UNIT,MEDIUM,1330.0,35.0,19.0,15.8,14.0,86.0,93.8,89529.16,115822.7
190222020260000,District,Lisle CUSD 202,Lisle,Dupage,UNIT,MEDIUM,1489.0,29.7,18.0,15.0,20.2,79.8,94.4,73052.65,116333.1
190222030260000,District,Naperville CUSD 203,Naperville,Dupage,UNIT,LARGE,16654.0,15.8,23.0,12.8,34.7,64.9,86.6,70791.94,101433.87
190222040260000,District,Indian Prairie CUSD 204,Aurora,Dupage,UNIT,LARGE,27859.0,17.0,27.0,14.3,32.5,67.4,91.9,68161.92,130470.81
190222050260000,District,Elmhurst SD 205,Elmhurst,Dupage,UNIT,LARGE,8599.0,15.6,22.0,12.2,35.1,64.9,88.2,77190.73,118321.08
200240010260000,District,Edwards County CUSD 1,Albion,Edwards,UNIT,MEDIUM,931.0,39.1,19.0,13.4,57.6,42.4,94.7,49147.04,84833.68
200300070260000,District,Gallatin CUSD 7,Junction,Gallatin,UNIT,MEDIUM,756.0,64.3,18.0,13.0,79.2,20.8,87.2,41583.93,76391.53
200330100260000,District,Hamilton Co CUSD 10,Mc Leansboro,Hamilton,UNIT,MEDIUM,1230.0,49.8,24.0,16.3,33.3,66.7,92.9,49989.27,79981.12
200350010260000,District,Hardin County CUSD 1,Elizabethtown,Hardin,UNIT,MEDIUM,579.0,54.9,19.0,20.4,74.4,25.6,93.4,43642.84,82800.93
200760010260000,District,Pope Co CUD 1,Golconda,Pope,UNIT,MEDIUM,534.0,56.6,16.0,13.1,84.0,16.0,92.9,42796.39,75452.39
200830010260000,District,Galatia CUSD 1,Galatia,Saline,UNIT,SMALL,443.0,56.0,16.0,14.8,84.8,12.2,91.8,44200.82,66624.22
200830020260000,District,Carrier Mills-Stonefort CUSD 2,Carrier Mills,Saline,UNIT,SMALL,440.0,30.2,17.0,17.1,67.4,32.6,95.3,48778.43,75587.5
200830030260000,District,Harrisburg CUSD 3,Harrisburg,Saline,UNIT,LARGE,1921.0,61.2,19.0,15.7,66.6,33.4,91.9,52910.52,74600.55
200830040260000,District,Eldorado CUSD 4,Eldorado,Saline,UNIT,MEDIUM,1192.0,61.8,18.0,17.4,62.2,37.2,94.5,43877.13,70592.34
200930170240000,District,Allendale CCSD 17,Allendale,Wabash,UNIT,SMALL,140.0,57.1,14.0,14.6,72.1,27.9,88.9,38672.73,87400.0
200933480260000,District,Wabash CUSD 348,Mount Carmel,Wabash,UNIT,MEDIUM,1485.0,50.2,22.0,16.6,66.6,32.3,80.4,57600.86,89354.71
200961000260000,District,Wayne City CUSD 100,Wayne City,Wayne,UNIT,MEDIUM,565.0,41.8,14.0,13.6,72.1,27.9,91.2,47083.37,71415.75
200962000260000,District,North Wayne CUSD 200,Cisne,Wayne,UNIT,SMALL,385.0,45.5,13.0,14.5,76.7,19.7,90.3,45913.48,70402.29
200962250160000,District,Fairfield Comm H S Dist 225,Fairfield,Wayne,HIGH SCHOOL,SMALL,431.0,34.1,18.0,13.7,54.2,45.8,91.8,53538.61,82204.13
200970010260000,District,Grayville CUSD 1,Grayville,White,UNIT,SMALL,305.0,57.0,16.0,9.3,83.6,16.4,81.2,39659.06,95983.0
200970030260000,District,Norris City-Omaha-Enfield CUSD 3,Norris City,White,UNIT,MEDIUM,729.0,50.1,16.0,11.0,66.3,33.7,85.3,35603.55,66528.39
200970050260000,District,Carmi-White County CUSD 5,Carmi,White,UNIT,MEDIUM,1421.0,57.1,21.0,15.3,40.5,59.5,89.0,55197.89,99423.09
210280990260000,District,Christopher USD 99,Christopher,Franklin,UNIT,MEDIUM,772.0,17.9,18.0,16.0,44.1,54.0,92.3,52354.92,97869.07
210281030130000,District,Benton Cons HSD 103,Benton,Franklin,HIGH SCHOOL,SMALL,548.0,53.8,18.0,18.3,46.1,51.2,90.2,60758.77,91023.24
210281680260000,District,Frankfort CUSD 168,West Frankfort,Franklin,UNIT,LARGE,1773.0,47.8,19.0,14.5,52.7,47.3,85.9,58420.6,82297.75
210281740260000,District,Thompsonville CUSD 174,Thompsonville,Franklin,UNIT,SMALL,336.0,40.5,14.0,13.9,81.4,17.4,94.7,42953.97,87322.01
210281880260000,District,Zeigler-Royalton CUSD 188,Zeigler,Franklin,UNIT,MEDIUM,605.0,63.5,17.0,14.9,87.9,12.1,87.0,51906.08,83425.33
210281960260000,District,Sesser-Valier CUSD 196,Sesser,Franklin,UNIT,MEDIUM,646.0,51.1,17.0,17.3,63.2,36.8,87.2,50207.22,84688.52
210440010260000,District,Goreville CUD 1,Goreville,Johnson,UNIT,MEDIUM,597.0,37.4,19.0,16.8,65.8,34.2,95.6,55404.15,260021.32
210441330170000,District,Vienna HSD 133,Vienna,Johnson,HIGH SCHOOL,SMALL,380.0,45.8,21.0,16.6,65.0,35.0,93.4,49963.87,95505.51
210610010260000,District,Massac UD 1,Metropolis,Massac,UNIT,LARGE,2027.0,59.4,22.0,15.0,48.3,50.3,88.7,54495.35,81769.59
210610380260000,District,Joppa-Maple Grove UD 38,Joppa,Massac,UNIT,SMALL,268.0,62.3,14.0,16.8,59.3,36.6,90.3,52054.24,100543.48
211000010260000,District,Johnston City CUSD 1,Johnston City,Williamson,UNIT,MEDIUM,1104.0,63.0,22.0,14.7,58.6,41.4,90.4,54088.13,87925.0
211000020260000,District,Marion CUSD 2,Marion,Williamson,UNIT,LARGE,4031.0,52.2,22.0,15.1,51.6,47.7,85.1,67670.43,101938.26
211000030260000,District,Crab Orchard CUSD 3,Marion,Williamson,UNIT,MEDIUM,512.0,35.5,20.0,14.1,78.8,21.2,91.0,45720.41,105928.7
211000040260000,District,Herrin CUSD 4,Herrin,Williamson,UNIT,LARGE,2481.0,55.5,20.0,14.8,63.0,36.3,90.7,57995.28,98876.13
211000050260000,District,Carterville CUSD 5,Carterville,Williamson,UNIT,LARGE,2149.0,35.1,19.0,13.2,64.5,34.7,90.2,54312.55,97024.38
240320010260000,District,Coal City CUSD 1,Coal City,Grundy,UNIT,LARGE,2230.0,27.0,21.0,12.6,38.1,61.9,90.4,65987.43,103776.8
240320730170000,District,Gardner S Wilmington Twp HSD 73,Gardner,Grundy,HIGH SCHOOL,SMALL,185.0,26.5,13.0,13.5,45.9,54.1,86.5,46830.0,103235.37
240321010160000,District,Morris CHSD 101,Morris,Grundy,HIGH SCHOOL,MEDIUM,878.0,17.0,19.0,14.7,39.6,60.4,93.5,56141.77,102077.22
240321110160000,District,Minooka CHSD 111,Channahon,Grundy,HIGH SCHOOL,MEDIUM,2746.0,16.5,23.0,12.9,23.6,76.4,90.7,67622.83,103639.67
240470180160000,District,Newark CHSD 18,Newark,Kendall,HIGH SCHOOL,SMALL,168.0,21.4,11.0,12.6,48.0,52.0,86.7,49839.05,111683.95
240470880260000,District,Plano CUSD 88,Plano,Kendall,UNIT,LARGE,2385.0,58.6,21.0,13.0,46.5,53.5,86.1,61672.56,128885.64
240471150260000,District,Yorkville CUSD 115,Yorkville,Kendall,UNIT,LARGE,6146.0,17.7,21.0,9.5,41.3,58.7,85.9,54538.76,101822.39
240473080260000,District,CUSD 308,Oswego,Kendall,UNIT,LARGE,18096.0,24.1,23.0,11.8,27.7,72.1,87.2,65231.65,83601.67
260290010260000,District,Astoria CUSD 1,Astoria,Fulton,UNIT,SMALL,351.0,53.3,16.0,9.8,88.9,11.1,73.2,33438.98,85558.1
260290020260000,District,V I T CUSD 2,Table Grove,Fulton,UNIT,SMALL,378.0,40.5,13.0,15.2,59.5,40.5,82.5,41951.75,84438.86
260290030260000,District,CUSD 3 Fulton County,Cuba,Fulton,UNIT,SMALL,424.0,49.1,15.0,14.7,83.9,16.1,74.5,39431.26,98106.84
260290040260000,District,Spoon River Valley CUSD 4,London Mills,Fulton,UNIT,SMALL,337.0,45.4,12.0,15.9,85.1,14.9,88.9,40063.24,71726.84
260290660250000,District,Canton Union SD 66,Canton,Fulton,UNIT,LARGE,2497.0,51.6,19.0,13.9,64.6,34.8,89.3,49512.49,84075.16
260290970260000,District,Lewistown CUSD 97,Lewistown,Fulton,UNIT,MEDIUM,657.0,52.5,18.0,16.6,61.9,36.1,81.8,48074.76,84937.0
260343070160000,District,Illini West H S Dist 307,Carthage,Hancock,HIGH SCHOOL,SMALL,341.0,39.9,13.0,18.7,80.2,19.8,88.6,46001.58,87891.94
260343160260000,District,Warsaw CUSD 316,Warsaw,Hancock,UNIT,SMALL,416.0,35.8,17.0,13.8,60.9,39.1,81.8,39697.88,80576.67
260343250260000,District,Nauvoo-Colusa CUSD 325,Nauvoo,Hancock,UNIT,SMALL,251.0,45.8,16.0,11.0,77.3,22.7,83.6,41824.15,103396.5
260343280240000,District,Hamilton CCSD 328,Hamilton,Hancock,UNIT,MEDIUM,603.0,44.9,19.0,12.4,70.3,27.5,84.5,42454.48,87114.98
260343370260000,District,Southeastern CUSD 337,Augusta,Hancock,UNIT,SMALL,484.0,63.2,16.0,13.6,58.8,41.2,79.6,40350.44,88881.75
260621030260000,District,West Prairie CUSD 103,Colchester,McDonough,UNIT,MEDIUM,608.0,49.0,16.0,14.4,83.0,17.0,84.2,42662.85,83530.9
260621700260000,District,Bushnell Prairie City CUSD 170,Bushnell,McDonough,UNIT,MEDIUM,696.0,56.8,14.0,12.1,74.1,25.9,78.2,39088.91,91649.0
260621850260000,District,Macomb CUSD 185,Macomb,McDonough,UNIT,LARGE,2076.0,46.8,19.0,13.6,55.1,44.2,87.7,47381.03,97752.95
260850050260000,District,Schuyler-Industry CUSD 5,Rushville,Schuyler,UNIT,MEDIUM,1071.0,40.1,19.0,16.3,59.3,40.7,57.1,47981.79,84764.68
280061030220000,District,DePue USD 103,DePue,Bureau,UNIT,SMALL,429.0,71.1,11.0,10.7,67.1,32.9,84.4,40786.1,100250.0
280063030260000,District,La Moille CUSD 303,La Moille,Bureau,UNIT,SMALL,226.0,46.9,13.0,13.9,59.0,41.0,85.5,44616.08,95690.33
280063400260000,District,Bureau Valley CUSD 340,Manlius,Bureau,UNIT,MEDIUM,1118.0,48.6,19.0,15.5,72.3,27.7,87.3,53627.45,90456.0
280065000150000,District,Princeton HSD 500,Princeton,Bureau,HIGH SCHOOL,SMALL,531.0,36.7,17.0,16.3,37.3,62.7,87.5,67419.42,108738.0
280065020170000,District,Hall HSD 502,Spring Valley,Bureau,HIGH SCHOOL,SMALL,438.0,46.1,15.0,13.5,30.1,66.8,88.9,55972.52,93332.8
280065050160000,District,Ohio CHSD 505,Ohio,Bureau,HIGH SCHOOL,SMALL,35.0,51.4,7.0,14.9,54.2,45.8,81.8,45932.59,103853.29
280372230260000,District,Orion CUSD 223,Orion,Henry,UNIT,MEDIUM,1061.0,16.3,19.0,14.3,60.0,38.5,89.3,52829.47,110645.82
280372240260000,District,Galva CUSD 224,Galva,Henry,UNIT,MEDIUM,519.0,53.0,15.0,14.5,61.5,38.5,89.1,44606.31,92817.75
280372250260000,District,AlWood CUSD 225,Woodhull,Henry,UNIT,SMALL,395.0,44.3,14.0,14.8,64.5,32.6,83.7,51710.56,107170.67
280372260260000,District,Annawan CUSD 226,Annawan,Henry,UNIT,SMALL,358.0,38.0,15.0,15.0,41.9,58.1,90.8,46225.92,81697.34
280372270260000,District,Cambridge CUSD 227,Cambridge,Henry,UNIT,SMALL,478.0,41.4,16.0,13.1,68.2,31.8,93.3,46117.22,106707.24
280372280260000,District,Geneseo CUSD 228,Geneseo,Henry,UNIT,LARGE,2623.0,23.3,23.0,14.2,39.4,60.6,87.7,52127.46,101483.31
280372290260000,District,Kewanee CUSD 229,Kewanee,Henry,UNIT,LARGE,1969.0,74.4,18.0,12.4,64.4,34.8,84.6,46521.0,106083.2
280372300260000,District,Wethersfield CUSD 230,Kewanee,Henry,UNIT,MEDIUM,590.0,43.2,17.0,17.4,29.1,70.9,92.9,50809.23,105800.0
280880010260000,District,Bradford CUSD 1,Bradford,Stark,UNIT,SMALL,157.0,52.9,14.0,9.8,79.3,20.7,82.5,36099.86,303030.3
280881000260000,District,Stark County CUSD 100,Wyoming,Stark,UNIT,MEDIUM,727.0,41.1,14.0,14.7,59.5,40.5,80.0,45690.41,95502.25
300020010220000,District,Cairo USD 1,Cairo,Alexander,UNIT,SMALL,388.0,98.5,19.0,15.7,65.0,35.0,72.5,46828.85,91791.83
300020050260000,District,Egyptian CUSD 5,Tamms,Alexander,UNIT,SMALL,448.0,85.5,15.0,17.1,51.8,48.2,86.3,47786.64,86038.33
300391650160000,District,Carbondale CHSD 165,Carbondale,Jackson,HIGH SCHOOL,MEDIUM,1009.0,58.4,18.0,15.3,48.8,49.9,90.9,63198.77,90347.08
300391760260000,District,Trico CUSD 176,Campbell Hill,Jackson,UNIT,MEDIUM,964.0,53.6,20.0,13.7,73.6,26.4,90.1,47097.51,85396.55
300391860260000,District,Murphysboro CUSD 186,Murphysboro,Jackson,UNIT,LARGE,2047.0,95.1,22.0,13.2,69.4,29.9,82.4,49636.72,72528.11
300391960260000,District,Elverado CUSD 196,Elkville,Jackson,UNIT,SMALL,413.0,61.5,14.0,11.8,80.1,19.9,79.4,39425.47,77142.98
300731010160000,District,Pinckneyville CHSD 101,Pinckneyville,Perry,HIGH SCHOOL,SMALL,451.0,38.1,18.0,13.9,74.2,25.8,90.7,51013.3,103990.0
300733000260000,District,Du Quoin CUSD 300,Du Quoin,Perry,UNIT,MEDIUM,1529.0,54.5,18.0,15.0,78.5,21.5,91.1,50745.68,98029.57
300771000260000,District,Century CUSD 100,Ullin,Pulaski,UNIT,SMALL,367.0,63.2,20.0,12.4,79.9,16.3,75.0,43239.69,74650.71
300771010260000,District,Meridian CUSD 101,Mounds,Pulaski,UNIT,SMALL,456.0,99.6,15.0,13.3,62.3,34.6,72.4,41389.1,82565.5
300910170220000,District,Cobden SUD 17,Cobden,Union,UNIT,MEDIUM,529.0,59.5,17.0,12.9,60.6,39.4,88.1,47292.22,103751.0
300910660220000,District,Dongola USD 66,Dongola,Union,UNIT,SMALL,281.0,91.8,16.0,10.4,83.3,16.7,75.0,36262.94,89550.39
300910810160000,District,Anna Jonesboro CHSD 81,Anna,Union,HIGH SCHOOL,SMALL,521.0,44.5,15.0,12.3,55.9,44.1,95.0,54340.55,104880.67
300910840260000,District,Shawnee CUSD 84,Wolf Lake,Union,UNIT,SMALL,331.0,99.4,18.0,12.9,70.9,29.1,90.0,43021.44,79692.85
310450460220000,District,SD U-46,Elgin,Kane,UNIT,LARGE,38764.0,59.1,22.0,13.4,33.5,66.0,84.7,68004.51,103071.1
310451010220000,District,Batavia USD 101,Batavia,Kane,UNIT,LARGE,5828.0,17.3,24.0,14.0,28.1,71.9,90.5,78220.71,110849.79
310451290220000,District,Aurora West USD 129,Aurora,Kane,UNIT,LARGE,12316.0,50.4,22.0,13.1,27.3,72.5,87.0,67970.08,91533.29
310451310220000,District,Aurora East USD 131,Aurora,Kane,UNIT,LARGE,14061.0,71.7,23.0,10.9,43.9,55.9,87.0,59698.24,93573.37
310453000260000,District,CUSD 300,Algonquin,Kane,UNIT,LARGE,20985.0,41.7,23.0,10.8,45.9,53.2,85.4,57632.71,104337.4
310453010260000,District,Central CUSD 301,Burlington,Kane,UNIT,LARGE,4175.0,10.4,20.0,10.3,47.4,52.6,86.4,56620.06,106044.24
310453020260000,District,Kaneland CUSD 302,Maple Park,Kane,UNIT,LARGE,4410.0,12.2,23.0,12.0,32.7,67.3,86.4,67209.67,97856.52
310453030260000,District,St Charles CUSD 303,St Charles,Kane,UNIT,LARGE,12442.0,15.6,23.0,13.5,35.1,64.9,78.9,65079.52,108137.87
310453040260000,District,Geneva CUSD 304,Geneva,Kane,UNIT,LARGE,5831.0,5.1,23.0,13.4,24.9,75.1,91.6,69684.28,107395.92
320380030260000,District,Donovan CUSD 3,Donovan,Iroquois,UNIT,SMALL,289.0,54.7,22.0,12.7,62.7,33.2,81.6,43702.24,89200.0
320380040260000,District,Central CUSD 4,Ashkum,Iroquois,UNIT,MEDIUM,1071.0,41.3,20.0,15.6,45.4,54.6,86.4,47453.81,85073.83
320380060260000,District,Cissna Park CUSD 6,Cissna Park,Iroquois,UNIT,SMALL,301.0,25.6,19.0,11.9,63.8,31.9,80.4,41319.32,105802.8
320380090260000,District,Iroquois County CUSD 9,Watseka,Iroquois,UNIT,MEDIUM,1009.0,59.1,18.0,15.4,51.6,45.6,89.1,56288.16,85385.66
320380100260000,District,Iroquois West CUSD 10,Gilman,Iroquois,UNIT,MEDIUM,1014.0,55.0,18.0,12.7,66.2,32.4,81.2,45424.17,76259.45
320381240260000,District,Milford Area Public Schools District 124,Milford,Iroquois,UNIT,MEDIUM,597.0,57.5,15.0,15.0,56.7,40.4,94.3,51633.38,106729.25
320382490260000,District,Crescent Iroquois CUSD 249,Crescent City,Iroquois,UNIT,SMALL,81.0,28.4,8.0,16.2,33.3,66.7,93.5,49490.69,105000.0
320460010260000,District,Momence CUSD 1,Momence,Kankakee,UNIT,MEDIUM,1101.0,65.7,22.0,13.1,45.2,54.8,77.2,48999.15,87839.93
320460020260000,District,Herscher CUSD 2,Herscher,Kankakee,UNIT,MEDIUM,1718.0,27.6,20.0,14.1,49.4,50.6,87.4,45022.89,89638.4
320460050260000,District,Manteno CUSD 5,Manteno,Kankakee,UNIT,LARGE,2131.0,34.4,22.0,12.2,44.9,55.1,82.4,45913.48,81898.83
320460060260000,District,Grant Park CUSD 6,Grant Park,Kankakee,UNIT,MEDIUM,495.0,40.4,15.0,11.7,51.7,48.3,84.6,42322.69,97465.83
320461110250000,District,Kankakee SD 111,Kankakee,Kankakee,UNIT,LARGE,5165.0,67.4,17.0,14.7,40.4,56.4,75.8,54579.07,98314.79
320463020160000,District,St Anne CHSD 302,Saint Anne,Kankakee,HIGH SCHOOL,SMALL,217.0,80.6,12.0,6.3,69.2,30.8,74.1,53688.2,90562.0
320463070160000,District,Bradley Bourbonnais CHSD 307,Bradley,Kankakee,HIGH SCHOOL,MEDIUM,2047.0,42.6,24.0,11.8,47.2,52.8,87.1,57061.98,103890.34
330362350260000,District,West Central CUSD 235,Biggsville,Henderson,UNIT,MEDIUM,789.0,56.5,15.0,12.8,68.6,31.4,88.0,40838.11,78193.0
330482020260000,District,Knoxville CUSD 202,Knoxville,Knox,UNIT,MEDIUM,1064.0,41.8,20.0,14.0,64.2,35.8,92.2,50355.33,93466.16
330482050260000,District,Galesburg CUSD 205,Galesburg,Knox,UNIT,LARGE,4384.0,61.4,19.0,15.3,48.0,51.6,83.7,58909.14,96987.29
330482080260000,District,R O W V A CUSD 208,Oneida,Knox,UNIT,MEDIUM,594.0,43.8,15.0,15.0,65.5,34.5,93.5,52756.72,103887.0
330482100260000,District,Williamsfield CUSD 210,Williamsfield,Knox,UNIT,SMALL,258.0,32.6,13.0,12.4,70.0,30.0,77.1,55891.93,109199.5
330482760260000,District,Abingdon-Avon CUSD 276,Abingdon,Knox,UNIT,MEDIUM,971.0,47.7,18.0,11.4,67.3,31.3,78.1,41237.26,108321.26
330664040260000,District,Mercer County School District 404,Aledo,Mercer,UNIT,MEDIUM,1352.0,40.2,17.0,13.9,54.5,45.5,88.6,49107.09,86867.86
330942380260000,District,Monmouth-Roseville CUSD 238,Monmouth,Warren,UNIT,MEDIUM,1692.0,80.7,16.0,12.9,77.7,21.4,79.8,43501.57,100427.12
330943040260000,District,United CUSD 304,Monmouth,Warren,UNIT,MEDIUM,956.0,43.6,18.0,13.4,64.8,35.2,84.2,47865.09,84286.0
340490600260000,District,Waukegan CUSD 60,Waukegan,Lake,UNIT,LARGE,16275.0,69.7,23.0,12.1,35.5,64.3,78.2,62085.96,99402.78
340490950260000,District,Lake Zurich CUSD 95,Lake Zurich,Lake,UNIT,LARGE,5693.0,12.2,21.0,15.5,24.5,75.2,92.8,75053.0,107007.7
340491130170000,District,Twp HSD 113,Highland Park,Lake,HIGH SCHOOL,LARGE,3677.0,9.3,16.0,17.3,16.1,83.9,95.5,113186.0,144195.91
340491150160000,District,Lake Forest CHSD 115,Lake Forest,Lake,HIGH SCHOOL,MEDIUM,1628.0,2.1,19.0,14.8,26.6,73.4,93.8,102027.29,140118.31
340491160260000,District,Round Lake CUSD 116,Round Lake,Lake,UNIT,LARGE,6948.0,66.7,18.0,10.8,33.5,66.5,86.8,66674.1,98351.48
340491170160000,District,CHSD 117,Lake Villa,Lake,HIGH SCHOOL,MEDIUM,2754.0,17.7,22.0,10.9,39.2,60.8,85.7,61310.65,98766.69
340491180260000,District,Wauconda CUSD 118,Wauconda,Lake,UNIT,LARGE,4687.0,32.2,22.0,13.4,23.9,76.1,92.0,66785.58,113162.69
340491200130000,District,Mundelein Cons HSD 120,Mundelein,Lake,HIGH SCHOOL,MEDIUM,2010.0,30.0,21.0,13.5,31.4,68.6,90.8,85887.37,126882.7
340491210170000,District,Warren Twp HSD 121,Gurnee,Lake,HIGH SCHOOL,LARGE,4117.0,16.6,20.0,14.7,27.5,72.1,94.8,81757.61,135656.58
340491240160000,District,Grant CHSD 124,Fox Lake,Lake,HIGH SCHOOL,MEDIUM,1845.0,34.5,21.0,11.2,26.0,74.0,90.1,62276.35,110995.36
340491250130000,District,Adlai E Stevenson HSD 125,Lincolnshire,Lake,HIGH SCHOOL,LARGE,4230.0,4.9,20.0,14.4,16.5,83.5,91.6,99274.59,147507.93
340491260170000,District,Zion-Benton Twp HSD 126,Zion,Lake,HIGH SCHOOL,MEDIUM,2633.0,60.5,19.0,11.3,26.2,73.2,89.6,60330.32,111809.3
340491270160000,District,Grayslake CHSD 127,Grayslake,Lake,HIGH SCHOOL,MEDIUM,2902.0,10.9,21.0,14.2,34.9,64.6,92.2,76047.49,122106.18
340491280160000,District,CHSD 128,Vernon Hills,Lake,HIGH SCHOOL,MEDIUM,3397.0,7.8,22.0,16.6,24.7,75.3,94.2,109494.92,146689.37
340491870260000,District,North Chicago SD 187,North Chicago,Lake,UNIT,LARGE,3558.0,92.0,19.0,9.0,48.1,51.9,60.9,50213.16,104149.42
340492200260000,District,Barrington CUSD 220,Barrington,Lake,UNIT,LARGE,8706.0,18.9,21.0,14.1,18.3,81.5,88.0,80635.12,126155.86
340499010250000,District,LEARN Charter 9 Campus in Waukegan,Waukegan,Lake,UNIT,SMALL,391.0,92.8,24.0,6.0,65.1,30.2,74.2,55853.42,101164.18
350500010260000,District,Leland CUSD 1,Leland,La Salle,UNIT,SMALL,259.0,40.2,17.0,16.4,38.1,61.9,89.8,46992.01,102139.69
350500020260000,District,Serena CUSD 2,Serena,La Salle,UNIT,MEDIUM,656.0,35.2,16.0,15.3,47.1,52.9,63.7,66656.27,89026.16
350500090260000,District,Earlville CUSD 9,Earlville,La Salle,UNIT,SMALL,413.0,38.5,13.0,13.4,48.9,51.1,70.2,45880.83,90000.0
350500400170000,District,Streator Twp HSD 40,Streator,La Salle,HIGH SCHOOL,MEDIUM,882.0,50.3,19.0,16.3,23.4,74.9,92.7,64409.58,111221.74
350501200170000,District,La Salle-Peru Twp HSD 120,La Salle,La Salle,HIGH SCHOOL,MEDIUM,1231.0,41.8,22.0,14.6,22.2,73.2,89.1,60045.56,107180.42
350501400170000,District,Ottawa Twp HSD 140,Ottawa,La Salle,HIGH SCHOOL,MEDIUM,1346.0,30.8,20.0,14.8,28.3,71.7,92.4,58972.57,95888.46
350501600170000,District,Seneca Twp HSD 160,Seneca,La Salle,HIGH SCHOOL,SMALL,462.0,31.4,17.0,18.5,17.8,82.2,94.7,87308.99,141222.99
350502800170000,District,Mendota Twp HSD 280,Mendota,La Salle,HIGH SCHOOL,SMALL,561.0,49.6,20.0,16.4,20.2,76.9,95.3,65802.41,101480.65
350504250260000,District,Lostant CUSD 425,Lostant,La Salle,UNIT,SMALL,59.0,45.8,7.0,14.5,33.3,66.7,77.8,46540.27,117515.0
350590050260000,District,Henry-Senachwine CUSD 5,Henry,Marshall,UNIT,MEDIUM,567.0,45.9,15.0,15.7,61.3,38.7,90.1,52624.36,100407.1
350590070260000,District,Midland CUSD 7,Sparland,Marshall,UNIT,MEDIUM,708.0,43.8,21.0,12.1,69.7,30.3,80.7,39964.57,83964.25
350785350260000,District,Putnam County CUSD 535,Granville,Putnam,UNIT,MEDIUM,872.0,35.1,15.0,12.5,62.3,37.7,84.9,46365.01,85705.29
390550010260000,District,Argenta-Oreana CUSD 1,Argenta,Macon,UNIT,MEDIUM,964.0,46.6,16.0,11.8,69.1,29.4,81.7,44943.38,96213.94
