RCDTS,Type,School Name,District,City,County,District Type,District Size,School Type,Grades Served,ELA Proficiency Total Count,ELA Proficiency White Count,ELA Proficiency Black or African American Count,ELA Proficiency Hispanic or Latino Count,ELA Proficiency Asian Count,ELA Proficiency Native Hawaiian or Other Pacific Islander Count,ELA Proficiency American Indian or Alaska Native Count,ELA Proficiency Two or More Races Count,ELA Proficiency IEP Count,ELA Proficiency EL Count,ELA Proficiency Low Income Count,ELA Proficiency Total %,ELA Proficiency White %,ELA Proficiency Black or African American %,ELA Proficiency Hispanic or Latino %,ELA Proficiency Asian %,ELA Proficiency Native Hawaiian or Other Pacific Islander %,ELA Proficiency American Indian or Alaska Native %,ELA Proficiency Two or More Races %,ELA Proficiency IEP %,ELA Proficiency EL %,ELA Proficiency Low Income %,Math Proficiency Total Count,Math Proficiency White Count,Math Proficiency Black or African American Count,Math Proficiency Hispanic or Latino Count,Math Proficiency Asian Count,Math Proficiency Native Hawaiian or Other Pacific Islander Count,Math Proficiency American Indian or Alaska Native Count,Math Proficiency Two or More Races Count,Math Proficiency IEP Count,Math Proficiency EL Count,Math Proficiency Low Income Count,Math Proficiency Total %,Math Proficiency White %,Math Proficiency Black or African American %,Math Proficiency Hispanic or Latino %,Math Proficiency Asian %,Math Proficiency Native Hawaiian or Other Pacific Islander %,Math Proficiency American Indian or Alaska Native %,Math Proficiency Two or More Races %,Math Proficiency IEP %,Math Proficiency EL %,Math Proficiency Low Income %,ELA Growth All %,ELA White Growth  %,ELA Black or African American Growth  %,ELA Hispanic or Latino Growth  %,ELA Asian Growth  %,ELA Native Hawaiian or Other Pacific Islander Growth  %,ELA American Indian or Alaska Native Growth  %,ELA Two or More Races Growth  %,ELA Growth IEP  %,ELA Growth EL  %,ELA Growth Low Income  %,Math Growth All %,Math White Growth  %,Math Black or African American Growth  %,Math Hispanic or Latino Growth  %,Math Asian Growth  %,Math Native Hawaiian or Other Pacific Islander Growth  %,Math American Indian or Alaska Native Growth  %,Math Two or More Races Growth  %,Math Growth IEP  %,Math Growth EL  %,Math Growth Low Income  %,ELA Participation Total Student Count,ELA Participation Total Male Count,ELA Participation Total Female Count,ELA Participation Total White Count,ELA Participation Total Black or African American Count,ELA Participation Total Hispanic or Latino Count,ELA Participation Total Asian Count,ELA Participation Total Native Hawaiian or Other Pacific Islander Count,ELA Participation Total American Indian or Alaska Native Count,ELA Participation Total Two or More Races Count,ELA Participation Total IEP Count,ELA Participation Total EL Count,ELA Participation Total Low Income Count,ELA Participation Total Student %,ELA Participation Total Male %,ELA Participation Total Female %,ELA Participation Total White %,ELA Participation Total Black or African American %,ELA Participation Total Hispanic or Latino %,ELA Participation Total Asian %,ELA Participation Total Native Hawaiian or Other Pacific Islander %,ELA Participation Total American Indian or Alaska Native %,ELA Participation Total Two or More Races %,ELA Participation Total IEP %,ELA Participation Total EL %,ELA Participation Total Low Income %,ELA Proficiency Total Student Count,ELA Proficiency Total Male Count,ELA Proficiency Total Female Count,ELA Proficiency Male %,ELA Proficiency Female %,Total EL students,Total EL students Tested with Access,Total EL students Tested with Access - Proficient,Total EL students Tested with Access - Proficient %,Total EL Long Term EL Students,Total EL Long Term EL Students %,Math Proficiency Total Student Count,Math Proficiency Total Male Count,Math Proficiency Total Female Count,Math Proficiency Male %,Math Proficiency Female %,Math Participation Total Student Count,Math Participation Total Male Count,Math Participation Total Female Count,Math Participation Total White Count,Math Participation Total Black or African American Count,Math Participation Total Hispanic or Latino Count,Math Participation Total Asian Count,Math Participation Total Native Hawaiian or Other Pacific Islander Count,Math Participation Total American Indian or Alaska Native Count,Math Participation Total Two or More Race Count,Math Participation Total IEP Count,Math Participation Total IEP Count,Math Participation Total Low Income Count,Math Participation Total Student %,Math Participation Male %,Math Participation Female %,Math Participation White %,Math Participation Black or African American %,Math Participation Hispanic or Latino %,Math Participation Asian %,Math Participation Native Hawaiian or Other Pacific Islander %,Math Participation American Indian or Alaska Native %,Math Participation Two or More Race %,Math Participation IEP %,Math Participation IEP %,Math Participation Low Income %,ELA Grade 3 Proficient,Math Grade 3 Proficient,ELA Grade 4 Proficient,Math Grade 4 Proficient,ELA Grade 5 Proficient,Math Grade 5 Proficient,Science Grade 5 Proficient,ELA Grade 6 Proficient,Math Grade 6 Proficient,ELA Grade 7 Proficient,Math Grade 7 Proficient,ELA Grade 8 Proficient,Math Grade 8 Proficient,Science Grade 8 Proficient,ELA Grade 11 Proficient,Math Grade 11 Proficient
010010030262008,School,Central 3-4 Middle School,Central CUSD 3,Golden,Adams,UNIT,MEDIUM,ELEMENTARY, 3 4,15,14,,,,,,,0,,4,11.5,10.9,,,,,,,0,,5.8,21,21,,,,,,,3,,7,16,16.4,,,,,,,9.7,,10.1,34.5,33.9,,,,,,72,31.5,,37.8,41.4,41,,,,,,65,44.3,,42.4,131,61,70,128,,,,,,,31,,69,99.2,98.4,100,99.2,,,,,,,96.9,,98.6,15,6,9,9.8,12.9,,,,,,,21,15,6,24.6,8.6,131,61,70,128,,,,,,,31,,69,99.2,98.4,100,99.2,,,,,,,96.9,,98.6,10,20,5,1,,,,,,,,,,,,
010010040260000,District,,CUSD 4,Mendon,Adams,UNIT,MEDIUM,,,137,135,,0,,,,,5,,21,38.2,39.1,,0,,,,,7.7,,22.1,80,80,,0,,,,,2,,11,22.3,23.2,,0,,,,,3.1,,11.6,54.4,54.3,,48.1,96,,,91,34.2,50.3,47.2,49.1,49.1,,46.2,84,,,34,35.1,45.3,48.8,359,194,165,345,,10,,,,,65,,95,99.4,99.5,99.4,99.4,,100,,,,,98.5,,99,137,66,71,34,43,,,,,,,80,44,36,22.7,21.8,359,194,165,345,,10,,,,,65,,95,99.4,99.5,99.4,99.4,,100,,,,,98.5,,99,21,13,17,13,9,12,25,31,11,21,9,18,7,9,20,15
010010040260001,School,Unity High School,CUSD 4,Mendon,Adams,UNIT,MEDIUM,HIGH SCHOOL, 9 10 11 12,20,20,,,,,,,,,3,35.1,35.1,,,,,,,,,23.1,15,15,,,,,,,,,2,26.3,26.3,,,,,,,,,15.4,,,,,,,,,,,,,,,,,,,,,,,57,26,31,57,,,,,,,,,13,100,100,100,100,,,,,,,,,100,20,9,11,34.6,35.5,,,,,,,15,10,5,38.5,16.1,57,26,31,57,,,,,,,,,13,100,100,100,100,,,,,,,,,100,,,,,,,,,,,,,,,20,15
010010040262006,School,Unity Elementary School,CUSD 4,Mendon,Adams,UNIT,MEDIUM,ELEMENTARY,PK K 1 2 3,21,21,,,,,,,,,,45.7,47.7,,,,,,,,,,13,13,,,,,,,,,,28.3,29.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,23,23,44,,,,,,,,,,97.9,95.8,100,97.8,,,,,,,,,,21,10,11,43.5,47.8,,,,,,,13,8,5,34.8,21.7,46,23,23,44,,,,,,,,,,97.9,95.8,100,97.8,,,,,,,,,,21,13,,,,,,,,,,,,,,
010010040262007,School,Unity Middle School,CUSD 4,Mendon,Adams,UNIT,MEDIUM,ELEMENTARY, 4 5 6 7 8,96,94,,0,,,,,3,,18,37.6,38.7,,0,,,,,6.1,,22.5,52,52,,0,,,,,0,,9,20.4,21.4,,0,,,,,0,,11.3,54.4,54.3,,48.1,96,,,91,34.2,50.3,47.2,49.1,49.1,,46.2,84,,,34,35.1,45.3,48.8,255,144,111,243,,10,,,,,49,,80,99.6,100,99.1,99.6,,100,,,,,100,,100,96,47,49,32.6,44.1,,,,,,,52,26,26,18.1,23.4,255,144,111,243,,10,,,,,49,,80,99.6,100,99.1,99.6,,100,,,,,100,,100,,,17,13,9,12,25,31,11,21,9,18,7,9,,
010011720220000,District,,Quincy SD 172,Quincy,Adams,UNIT,LARGE,,,759,636,30,25,27,,0,39,22,,272,23.5,24.9,10.3,23.6,75,,0,17.3,3.4,,14.5,748,633,22,22,27,,1,38,27,,256,23.2,24.8,7.6,20.8,75,,8.3,16.9,4.2,,13.6,40.6,41,38.6,42.9,58,39,42.4,36.7,37.2,68.3,39.2,43.8,44.2,40.3,44.9,48.4,95,42.8,42.2,40.3,55,42.6,3229,1619,1610,2553,292,106,36,,12,225,639,,1874,99.1,99.2,99,99.1,98,100,100,,100,100,98.2,,98.6,759,304,455,18.8,28.3,18,18,4,22.2,1,5.6,748,384,364,23.7,22.6,3230,1619,1611,2555,291,106,36,,12,225,640,,1878,99.2,99.3,99,99.2,98,100,100,,100,100,98.5,,98.8,113,132,123,142,120,130,221,117,91,98,77,66,81,220,122,95
010011720220003,School,Quincy Sr High School,Quincy SD 172,Quincy,Adams,UNIT,LARGE,HIGH SCHOOL, 9 10 11 12,122,110,2,3,,,,5,1,,31,29.7,32.1,7.5,23.1,,,,21.7,1.5,,16.3,95,83,1,4,,,,5,0,,22,23.1,24.2,3.8,30.8,,,,21.7,0,,11.6,,,,,,,,,,,,,,,,,,,,,,,411,203,208,343,26,13,,,,23,65,,190,97.6,97.1,98.1,97.7,92.9,100,,,,100,97,,95.5,122,56,66,27.6,31.7,,,,,1,,95,49,46,24.1,22.1,411,203,208,343,26,13,,,,23,65,,190,97.6,97.1,98.1,97.7,92.9,100,,,,100,97,,95.5,,,,,,,,,,,,,,,122,95
010011720221003,School,Quincy Jr High School,Quincy SD 172,Quincy,Adams,UNIT,LARGE,MIDDLE SCHL, 6 7 8,281,233,7,9,13,,,18,5,,88,20.4,21.3,5.8,23.7,86.7,,,17,2,,11.3,249,209,5,8,13,,,13,4,,72,18.1,19.1,4.1,21.1,86.7,,,12.3,1.6,,9.2,32.9,33,32,32.2,50.2,39,,31.1,35.1,53.5,31.7,37.4,37.4,35.8,40.5,38.8,95,77,37.2,37.3,45.5,37.4,1376,683,693,1092,121,38,15,,,106,253,,782,98.8,99.1,98.4,98.7,97.6,100,100,,,100,97.3,,98.1,281,102,179,14.9,25.8,,,,,,,249,131,118,19.2,17,1378,683,695,1093,122,38,15,,,106,254,,786,99,99.3,98.7,98.9,98.4,100,100,,,100,97.7,,98.5,,,,,,,,117,91,98,77,66,81,220,,
010011720222004,School,Sarah Atwater Denman Elementary School Site 2,Quincy SD 172,Quincy,Adams,UNIT,LARGE,ELEMENTARY, K 1 2 3 4 5,15,13,,,,,,,0,,11,20.3,21,,,,,,,0,,17.7,16,13,,,,,,,0,,14,21.3,20.6,,,,,,,0,,22.2,,,,,,,,,,,,,,,,,,,,,,,74,34,40,62,,,,,,,14,,62,98.7,97.1,100,98.4,,,,,,,93.3,,98.4,15,5,10,14.7,25,,,,,,,16,7,9,20,22.5,75,35,40,63,,,,,,,15,,63,100,100,100,100,,,,,,,100,,100,15,16,,,,,,,,,,,,,,
010011720222006,School,Colonel George Iles Elementary School,Quincy SD 172,Quincy,Adams,UNIT,LARGE,ELEMENTARY, K 1 2 3 4 5,17,15,,,,,,,0,,13,26.6,26.8,,,,,,,0,,27.7,21,20,,,,,,,1,,12,32.8,35.7,,,,,,,8.3,,25.5,,,,,,,,,,,,,,,,,,,,,,,64,36,28,56,,,,,,,12,,47,100,100,100,100,,,,,,,100,,100,17,10,7,27.8,25,,,,,,,21,13,8,36.1,28.6,64,36,28,56,,,,,,,12,,47,100,100,100,100,,,,,,,100,,100,17,21,,,,,,,,,,,,,,
010011720222007,School,Thomas S Baldwin Elementary School Site 1,Quincy SD 172,Quincy,Adams,UNIT,LARGE,ELEMENTARY, K 1 2 3 4 5,20,15,,,,,,,2,,6,25,24.6,,,,,,,9.5,,15.8,28,20,,,,,,,2,,8,35,32.8,,,,,,,9.5,,21.1,,,,,,,,,,,,,,,,,,,,,,,80,42,38,61,,,,,,,21,,38,100,100,100,100,,,,,,,100,,100,20,8,12,19,31.6,,,,,,,28,13,15,31,39.5,80,42,38,61,,,,,,,21,,38,100,100,100,100,,,,,,,100,,100,20,28,,,,,,,,,,,,,,
010011720222008,School,Sarah Atwater Denman Elementary Site 1,Quincy SD 172,Quincy,Adams,UNIT,LARGE,ELEMENTARY, K 1 2 3 4 5,5,1,,,,,,,,,5,12.5,3.8,,,,,,,,,16.1,5,3,,,,,,,,,3,12.5,11.5,,,,,,,,,9.7,,,,,,,,,,,,,,,,,,,,,,,40,16,24,26,,,,,,,,,31,100,100,100,100,,,,,,,,,100,5,1,4,6.3,16.7,,,,,,,5,3,2,18.8,8.3,40,16,24,26,,,,,,,,,31,100,100,100,100,,,,,,,,,100,5,5,,,,,,,,,,,,,,
010011720222009,School,Thomas S Baldwin Elementary School Site 2,Quincy SD 172,Quincy,Adams,UNIT,LARGE,ELEMENTARY, K 1 2 3 4 5,26,19,,,,,,,,,9,28.6,27.9,,,,,,,,,22.5,33,26,,,,,,,,,9,36.3,38.2,,,,,,,,,22.5,,,,,,,,,,,,,,,,,,,,,,,91,46,45,68,,,,,,,,,40,100,100,100,100,,,,,,,,,100,26,12,14,26.1,31.1,,,,,,,33,17,16,37,35.6,91,46,45,68,,,,,,,,,40,100,100,100,100,,,,,,,,,100,26,33,,,,,,,,,,,,,,
010011720222016,School,Lincoln-Douglas Elementary School,Quincy SD 172,Quincy,Adams,UNIT,LARGE,ELEMENTARY, K 1 2 3 4 5,21,19,,,,,,,2,,5,35,35.8,,,,,,,18.2,,23.8,20,17,,,,,,,2,,4,33.3,32.1,,,,,,,18.2,,19,,,,,,,,,,,,,,,,,,,,,,,60,28,32,53,,,,,,,11,,21,100,100,100,100,,,,,,,100,,100,21,10,11,35.7,34.4,,,,,,,20,12,8,42.9,25,60,28,32,53,,,,,,,11,,21,100,100,100,100,,,,,,,100,,100,21,20,,,,,,,,,,,,,,
010011720222017,School,Dr. Abby Fox Rooney Elementary School,Quincy SD 172,Quincy,Adams,UNIT,LARGE,ELEMENTARY, K 1 2 3 4 5,9,6,1,,,,,2,0,,7,14.1,17.6,6.7,,,,,20,0,,11.3,9,5,1,,,,,3,0,,8,14.1,14.7,6.7,,,,,30,0,,12.9,,,,,,,,,,,,,,,,,,,,,,,64,36,28,34,15,,,,,10,15,,62,100,100,100,100,100,,,,,100,100,,100,9,5,4,13.9,14.3,,,,,,,9,5,4,13.9,14.3,64,36,28,34,15,,,,,10,15,,62,100,100,100,100,100,,,,,100,100,,100,9,9,,,,,,,,,,,,,,
010011720222019,School,Baldwin Intermediate,Quincy SD 172,Quincy,Adams,UNIT,LARGE,ELEMENTARY, 4 5,243,205,15,10,,,,8,12,,97,25.8,27.7,16.1,25,,,,14.3,5.8,,16.2,272,237,11,8,,,,11,17,,104,28.9,32.1,12,20,,,,19.6,8.2,,17.4,52,52.5,48,53.9,70.3,,48,47.9,40.2,83,49,53.3,54.4,46.3,49.3,63.4,,41,52.4,44.8,64.5,49.7,942,473,469,739,93,40,,,,56,207,,597,99.9,100,99.8,99.9,100,100,,,,100,99.5,,99.8,243,95,148,20.1,31.6,,,,,,,272,134,138,28.3,29.5,941,473,468,739,92,40,,,,56,207,,596,99.8,100,99.6,99.9,98.9,100,,,,100,99.5,,99.7,,,123,142,120,130,221,,,,,,,,,
010050010260000,District,,Brown County CUSD 1,Mount Sterling,Brown,UNIT,MEDIUM,,,109,104,,,,,,,3,,96,29.8,29.5,,,,,,,7.1,,28.2,72,69,,,,,,,0,,62,19.7,19.6,,,,,,,0,,18.3,45.7,45.9,65,32,,,,41,31,,45.7,45.7,45.9,30,49.7,,,,35.3,38.9,,45.7,366,172,194,353,,,,,,,42,,340,99.7,99.4,100,99.7,,,,,,,100,,99.7,109,43,66,25,34,,,,,,,72,34,38,19.8,19.7,365,172,193,352,,,,,,,42,,339,99.7,99.4,100,99.7,,,,,,,100,,99.7,20,21,15,12,15,4,14,5,3,19,11,16,7,39,19,14
010050010260001,School,Brown County High School,Brown County CUSD 1,Mount Sterling,Brown,UNIT,MEDIUM,HIGH SCHOOL, 9 10 11 12,19,19,,,,,,,,,6,44.2,45.2,,,,,,,,,33.2,14,14,,,,,,,,,4,32.6,33.3,,,,,,,,,22.2,,,,,,,,,,,,,,,,,,,,,,,43,24,19,42,,,,,,,,,18,97.7,96,100,97.7,,,,,,,,,94.7,19,11,8,45.8,42.1,,,,,,,14,9,5,37.5,26.3,43,24,19,42,,,,,,,,,18,97.7,96,100,97.7,,,,,,,,,94.7,,,,,,,,,,,,,,,19,14
010050010261002,School,Brown County Middle School,Brown County CUSD 1,Mount Sterling,Brown,UNIT,MEDIUM,MIDDLE SCHL, 5 6 7 8,55,52,,,,,,,3,,55,25.2,24.5,,,,,,,10,,25.3,25,24,,,,,,,0,,25,11.5,11.4,,,,,,,0,,11.6,45.9,46.2,,25,,,,41,33.4,,45.9,42.1,42.3,,32,,,,35.3,41.6,,42.1,218,99,119,212,,,,,,,30,,217,100,100,100,100,,,,,,,100,,100,55,15,40,15.2,33.6,,,,,,,25,7,18,7.1,15.3,217,99,118,211,,,,,,,30,,216,100,100,100,100,,,,,,,100,,100,,,,,15,4,14,5,3,19,11,16,7,39,,
